Sıra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Mi5b5	E5b5	331	331	3	8	882	95	96	ARANAĞME 	0.3
2	9	Mi5b5	E5b5	331	331	1	4	588	95	96	.	0.5
3	9	Mi5b5	E5b5	331	331	1	8	294	95	96	.	0.6
4	9	Re5	D5	327	327	1	8	294	95	96	.	0.7
5	9	Do5	C5	318	318	1	8	294	95	96	.	0.8
6	9	Si4b5	B4b5	309	309	1	8	294	95	96	.	0.9
7	9	Do5	C5	318	318	1	8	294	95	96	.	1
8	9	Re5	D5	327	327	5	8	1471	95	96	.	1.5
9	53			0	0	0	0	0	0	0		1.5
10	9	Re5	D5	327	327	1	8	294	95	96	.	1.6
11	9	Do5	C5	318	318	1	8	294	95	96	.	1.7
12	9	Si4b5	B4b5	309	309	1	8	294	95	96	.	1.8
13	9	La4	A4	305	305	1	8	294	95	96	.	1.9
14	9	Sol4	G4	296	296	1	8	294	95	96	.	2
15	9	Sol4	G4	296	296	1	8	294	95	96	.	2.1
16	9	Fa4#4	F4#4	291	291	1	8	294	95	96	.	2.2
17	9	Sol4	G4	296	296	1	8	294	95	96	.	2.3
18	9	La4	A4	305	305	1	8	294	95	96	.	2.4
19	9	Si4b5	B4b5	309	309	1	8	294	95	96	.	2.5
20	9	Do5	C5	318	318	1	8	294	95	96	.	2.6
21	9	Re5	D5	327	327	1	8	294	95	96	.	2.7
22	9	Mi5b5	E5b5	331	331	1	8	294	95	96	.	2.8
23	9	Re5	D5	327	327	1	8	294	95	96	.	2.9
24	9	Do5	C5	318	318	1	8	294	95	96	.	3
25	53			0	0	0	0	0	0	0		3
26	9	Re5	D5	327	327	1	4	588	95	96	.	3.2
27	9	Mi5b5	E5b5	331	331	1	8	294	95	96	.	3.3
28	9	Re5	D5	327	327	1	8	294	95	96	.	3.4
29	9	Do5	C5	318	318	1	8	294	95	96	.	3.5
30	9	Si4b5	B4b5	309	309	1	8	294	95	96	.	3.6
31	9	Do5	C5	318	318	1	8	294	95	96	.	3.7
32	9	Re5	D5	327	327	3	8	882	95	96	.	4
33	53			0	0	0	0	0	0	0		4
34	9	Mi5b5	E5b5	331	331	5	8	1471	95	96	.	4.5
35	9	Mi5b5	E5b5	331	331	1	8	294	95	96	.	4.6
36	9	Re5	D5	327	327	1	8	294	95	96	.	4.7
37	9	Do5	C5	318	318	1	8	294	95	96	.	4.8
38	9	Si4b5	B4b5	309	309	1	8	294	95	96	.	4.9
39	9	Do5	C5	318	318	1	8	294	95	96	.	5
40	53			0	0	0	0	0	0	0		5
41	9	Re5	D5	327	327	1	4	588	95	96	.	5.2
42	9	Re5	D5	327	327	1	8	294	95	96	.	5.3
43	9	Re5	D5	327	327	1	4	588	95	96	.	5.5
44	9	Re5	D5	327	327	1	8	294	95	96	.	5.6
45	9	Do5	C5	318	318	1	8	294	95	96	.	5.7
46	9	Si4b5	B4b5	309	309	1	8	294	95	96	.	5.8
47	9	La4	A4	305	305	1	8	294	95	96	.	5.9
48	9	Sol4	G4	296	296	1	8	294	95	96	.	6
49	53			0	0	0	0	0	0	0		6
50	9	La4	A4	305	305	1	4	588	95	96	.	6.2
51	9	Mi5b5	E5b5	331	331	1	8	294	95	96	.	6.3
52	9	Re5	D5	327	327	1	8	294	95	96	.	6.4
53	9	Do5	C5	318	318	1	8	294	95	96	.	6.5
54	9	Si4b5	B4b5	309	309	1	8	294	95	96	.	6.6
55	9	La4	A4	305	305	1	8	294	95	96	.	6.7
56	9	Sol4	G4	296	296	1	4	588	95	96	.	6.9
57	9	Fa4#4	F4#4	291	291	1	8	294	95	96	.	7
58	9	Sol4	G4	296	296	5	8	1471	95	96	.	7.5
59	9	Sol4	G4	296	296	1	8	294	95	96	.	7.6
60	9	Fa4#4	F4#4	291	291	1	8	294	95	96	.	7.7
61	9	Sol4	G4	296	296	3	8	882	95	96	.  	8
62	53			0	0	0	0	0	0	0		8
63	9	Mi5b5	E5b5	331	331	3	8	882	95	96	ARANAĞME 	8.3
64	9	Mi5b5	E5b5	331	331	1	4	588	95	96	.	8.5
65	9	Mi5b5	E5b5	331	331	1	8	294	95	96	.	8.6
66	9	Re5	D5	327	327	1	8	294	95	96	.	8.7
67	9	Do5	C5	318	318	1	8	294	95	96	.	8.8
68	9	Si4b5	B4b5	309	309	1	8	294	95	96	.	8.9
69	9	Do5	C5	318	318	1	8	294	95	96	.	9
70	9	Re5	D5	327	327	5	8	1471	95	96	.	9.5
71	53			0	0	0	0	0	0	0		9.5
72	9	Re5	D5	327	327	1	8	294	95	96	.	9.6
73	9	Do5	C5	318	318	1	8	294	95	96	.	9.7
74	9	Si4b5	B4b5	309	309	1	8	294	95	96	.	9.8
75	9	La4	A4	305	305	1	8	294	95	96	.	9.9
76	9	Sol4	G4	296	296	1	8	294	95	96	.	10
77	9	Sol4	G4	296	296	1	8	294	95	96	.	10.1
78	9	Fa4#4	F4#4	291	291	1	8	294	95	96	.	10.2
79	9	Sol4	G4	296	296	1	8	294	95	96	.	10.3
80	9	La4	A4	305	305	1	8	294	95	96	.	10.4
81	9	Si4b5	B4b5	309	309	1	8	294	95	96	.	10.5
82	9	Do5	C5	318	318	1	8	294	95	96	.	10.6
83	9	Re5	D5	327	327	1	8	294	95	96	.	10.7
84	9	Mi5b5	E5b5	331	331	1	8	294	95	96	.	10.8
85	9	Re5	D5	327	327	1	8	294	95	96	.	10.9
86	9	Do5	C5	318	318	1	8	294	95	96	.	11
87	53			0	0	0	0	0	0	0		11
88	9	Re5	D5	327	327	1	4	588	95	96	.	11.2
89	9	Mi5b5	E5b5	331	331	1	8	294	95	96	.	11.3
90	9	Re5	D5	327	327	1	8	294	95	96	.	11.4
91	9	Do5	C5	318	318	1	8	294	95	96	.	11.5
92	9	Si4b5	B4b5	309	309	1	8	294	95	96	.	11.6
93	9	Do5	C5	318	318	1	8	294	95	96	.	11.7
94	9	Re5	D5	327	327	3	8	882	95	96	.	12
95	53			0	0	0	0	0	0	0		12
96	9	Mi5b5	E5b5	331	331	5	8	1471	95	96	.	12.5
97	9	Mi5b5	E5b5	331	331	1	8	294	95	96	.	12.6
98	9	Re5	D5	327	327	1	8	294	95	96	.	12.7
99	9	Do5	C5	318	318	1	8	294	95	96	.	12.8
100	9	Si4b5	B4b5	309	309	1	8	294	95	96	.	12.9
101	9	Do5	C5	318	318	1	8	294	95	96	.	13
102	53			0	0	0	0	0	0	0		13
103	9	Re5	D5	327	327	1	4	588	95	96	.	13.2
104	9	Re5	D5	327	327	1	8	294	95	96	.	13.3
105	9	Re5	D5	327	327	1	4	588	95	96	.	13.5
106	9	Re5	D5	327	327	1	8	294	95	96	.	13.6
107	9	Do5	C5	318	318	1	8	294	95	96	.	13.7
108	9	Si4b5	B4b5	309	309	1	8	294	95	96	.	13.8
109	9	La4	A4	305	305	1	8	294	95	96	.	13.9
110	9	Sol4	G4	296	296	1	8	294	95	96	.	14
111	53			0	0	0	0	0	0	0		14
112	9	La4	A4	305	305	1	4	588	95	96	.	14.2
113	9	Mi5b5	E5b5	331	331	1	8	294	95	96	.	14.3
114	9	Re5	D5	327	327	1	8	294	95	96	.	14.4
115	9	Do5	C5	318	318	1	8	294	95	96	.	14.5
116	9	Si4b5	B4b5	309	309	1	8	294	95	96	.	14.6
117	9	La4	A4	305	305	1	8	294	95	96	.	14.7
118	9	Sol4	G4	296	296	1	4	588	95	96	.	14.9
119	9	Fa4#4	F4#4	291	291	1	8	294	95	96	.	15
120	9	Sol4	G4	296	296	5	8	1471	95	96	.	15.5
121	9	Sol4	G4	296	296	1	8	294	95	96	.	15.6
122	9	Fa4#4	F4#4	291	291	1	8	294	95	96	.	15.7
123	9	Sol4	G4	296	296	3	8	882	95	96	.  	16
124	53			0	0	0	0	0	0	0		16
125	9	Sol4	G4	296	296	3	8	882	95	96	Kim	16.3
126	9	Re5	D5	327	327	1	4	588	95	96	se	16.5
127	9	Do5#4	C5#4	322	322	1	8	294	99	96	ye 	16.6
128	9	Re5	D5	327	327	1	8	294	99	96		16.7
129	9	Mi5b5	E5b5	331	331	1	4	588	99	96		16.9
130	9	Re5	D5	327	327	1	8	294	95	96		17
131	9	Re5	D5	327	327	5	4	2941	95	96	et	18
132	53			0	0	0	0	0	0	0		18
133	9	Do5	C5	318	318	3	8	882	95	96	mem 	18.3
134	9	Re5	D5	327	327	1	8	294	99	96	şi	18.4
135	9	Mi5b5	E5b5	331	331	1	8	294	95	96		18.5
136	9	Re5	D5	327	327	1	8	294	99	96	kâ	18.6
137	9	Do5	C5	318	318	1	8	294	99	96		18.7
